stop_id,stop_code,stop_name,street_name,latitude,longitude,direction,zone
N2837348E101573825,LG127,"Taman Desa Idaman,kg Olak Lempit",31,2.837348,101.573825,1,1
N2841812E101441148,,Pekan Chodoi,Jalan Chodoi,2.841812,101.441148,2,1
N2843904E101444766,,Taman Chodoi Bestari,Jalan Sg Buaya,2.843904,101.444766,2,1
N2870537E101813438,,Komersial Bukit Mahkota,Persiaran Mahkota 2,2.870537,101.813438,2,1
N2872432E101870582,,Hentian Pekan Beranang,Jalan Semenyih,2.872432,101.870582,2,1
N2873597E101814896,,Seksyen 5 Bandar Bukit Mahkota,Persiaran Mahkota 2,2.873597,101.814896,2,1
N2873758E101808645,,Bukit Mahkota Clubhouse Seksyen 6,Jalan Mahkota 7,2.873758,101.808645,1,1
N2874105E101871876,KJ596,SRA Integrasi Pekan Beranang (Opp),Jalan Semenyih,2.874105,101.871876,2,1
N2874542E101872033,KJ600,Kompleks Penghulu Mukim Beranang,Jalan Semenyih,2.874542,101.872033,1,1
N2875275E101872535,KJ595,Kampung Machang Hilir,Jalan Semenyih,2.875275,101.872535,2,1
N2875837E101872435,KJ601,Kampung Machang Hilir,Jalan Semenyih,2.8758368632738,101.87243549496,1,1
N2877296E101808991,,Pintu A Perumahan Bukit Mahkota (Opp),Jalan Mahkota 7,2.877296,101.808991,1,1
N2878001E101872035,KJ602,Kampung Sesapan Bukit Rembau,Jalan Semenyih,2.878001,101.872035,1,1
N2878111E101872158,KJ594,Kampung Sesapan Bukit Rembau,Jalan Semenyih,2.878111,101.872158,2,1
N2880919E101871192,KJ603,Jalan Sasapan Kelubi,Jalan Semenyih,2.880919,101.871192,1,1
N2881320E101807285,,Apartment Nuri (Opp),Persiaran Mahkota 2,2.88132,101.807285,1,1
N2881568E101807391,,Apartment Nuri,Persiaran Mahkota 2,2.881568,101.807391,2,1
N2882819E101801169,,Seksyen 3 Bandar Bukit Mahkota,Persiaran Mahkota 2,2.882819,101.801169,1,1
N2883064E101801179,,Seksyen 3 Bandar Bukit Mahkota,Persiaran Mahkota 2,2.883064,101.801179,2,1
N2883335E101794186,,Banyan Close,Persiaran Mahkota 1,2.883335,101.794186,1,1
N2883463E101794747,,Banyan Close,Persiaran Mahkota 1,2.883463,101.794747,2,1
N2885753E101870429,KJ604,Kampung Sesapan Kelubi (Utara),Jalan Semenyih,2.885753,101.870429,1,1
N2886038E101870613,KJ592,Kampung Sesapan Kelubi (Utara),Jalan Semenyih,2.886038,101.870613,2,1
N2886316E101785150,,SMK Bandar Seri Putra (Opp),Persiaran Seri Putra 1,2.886316,101.78515,1,1
N2886330E101791166,,Pusat Komersial Bandar Sri Putra,Persiaran Seri Putra 1,2.88633,101.791166,1,1
N2886509E101791356,,Pusat Komersial Bandar Sri Putra,Persiaran Seri Putra 1,2.886509,101.791356,2,1
N2886552E101784861,,SMK Bandar Seri Putra,Persiaran Seri Putra 1,2.886552,101.784861,2,1
N2887191E101779635,,Pusat Perniagaan Sri Putra,Jalan Seri Putra 3,2.8871907,101.779635,2,1
N2887669E101787822,,Masjid Bandar Seri Putra,Persiaran Seri Putra 1,2.887669,101.787822,1,1
N2887670E101779064,,Pangsapuri Seri Melati (Opp),Jalan Seri Putra 3,2.88767,101.779064,1,1
N2887891E101787680,,Masjid Bandar Seri Putra (Opp),Persiaran Seri Putra 1,2.887891,101.78768,2,1
N2888995E101678403,PPJ23,SK Putrajaya P5 (1),Jalan P5a,2.888995,101.678403,2,1
N2889084E101775924,,SK Bandar Seri Putra (Opp),Jalan Seri Putra 3,2.889084,101.775924,1,1
N2889108E101775718,,SK Bandar Seri Putra,Jalan Seri Putra 3,2.889108,101.775718,2,1
N2889175E101777885,,Pangsapuri Acacia (Opp),Jalan Seri Putra 3,2.889175,101.777885,1,1
N2889199E101675535,PPJ20,Apartment 5r4,Jalan P5a,2.889199,101.675535,2,1
N2889262E101777987,,Pangsapuri Acacia,Jalan Seri Putra 3,2.889262,101.777987,2,1
N2889742E101870479,KJ605,Taman Perindustrian Mahkota,Jalan Semenyih,2.889742,101.870479,1,1
N2890675E101679819,PPJ26,Apartment 5r6 P5,Jalan P5a,2.890675,101.679819,2,1
N2891338E101870877,KJ590,Taman PKNS Beranang,Jalan Semenyih,2.891338,101.870877,2,1
